"Series","ModelID","ARMA_P","ARMA_Q","GARCH_P","GARCH_Q","Distribution","Model","AIC","BIC","HQIC","LogLikelihood","Convergence","Error"
1,1,0,0,1,1,"norm","sGARCH",2.28407595795453,2.29091724082415,2.28407352230844,-4132.46155985565,FALSE,NA
1,2,1,0,1,1,"norm","sGARCH",2.27958109172752,2.28813269531455,2.27957728742832,-4123.32135711854,FALSE,NA
1,3,0,1,1,1,"norm","sGARCH",2.27957396910207,2.2881255726891,2.27957016480287,-4123.30845804385,FALSE,NA
1,4,1,1,1,1,"norm","sGARCH",2.28012615016424,2.29038807446867,2.28012067398456,-4123.30845794744,FALSE,NA
1,5,0,0,2,1,"norm","sGARCH",2.28221363522814,2.29076523881517,2.28220983092894,-4128.08889339816,FALSE,NA
1,6,1,0,2,1,"norm","sGARCH",2.27752395815333,2.28778588245777,2.27751848197365,-4118.59588821568,FALSE,NA
1,7,0,1,2,1,"norm","sGARCH",2.27748398353835,2.28774590784278,2.27747850735867,-4118.52349418795,FALSE,NA
1,8,1,1,2,1,"norm","sGARCH",2.2775089600989,2.28948120512074,2.27750150914507,-4117.5687267391,FALSE,NA
1,9,0,0,1,2,"norm","sGARCH",2.284957810079,2.29350941366603,2.2849540057798,-4133.05859405308,FALSE,NA
1,10,1,0,1,2,"norm","sGARCH",2.28046128365154,2.29072320795598,2.28045580747187,-4123.91538469294,FALSE,NA
1,11,0,1,1,2,"norm","sGARCH",2.28045426650572,2.29071619081016,2.28044879032605,-4123.90267664187,FALSE,NA
1,12,1,1,1,2,"norm","sGARCH",2.28100644180092,2.29297868682276,2.28099899084709,-4123.90266610146,FALSE,NA
1,13,0,0,2,2,"norm","sGARCH",2.2819080304665,2.29216995477094,2.28190255428683,-4126.53544317484,FALSE,NA
1,14,1,0,2,2,"norm","sGARCH",2.27737739865549,2.28934964367733,2.27736994770166,-4117.33046896509,FALSE,NA
1,15,0,1,2,2,"norm","sGARCH",2.27734317925746,2.2893154242793,2.27733572830363,-4117.26849763526,FALSE,NA
1,16,1,1,2,2,"norm","sGARCH",2.2773546918021,2.29103725754134,2.27734496351356,-4116.2893468536,FALSE,NA
1,17,0,0,1,1,"std","sGARCH",2.21280140125236,2.22135300483939,2.21279759695315,-4002.38333766802,FALSE,NA
1,18,1,0,1,1,"std","sGARCH",2.20779248173117,2.21805440603561,2.20778700555149,-3992.31218441515,FALSE,NA
1,19,0,1,1,1,"std","sGARCH",2.20762943141239,2.21789135571682,2.20762395523271,-3992.01690028783,FALSE,NA
1,20,1,1,1,1,"std","sGARCH",2.2050275898709,2.21699983489274,2.20502013891707,-3986.3049652562,FALSE,NA
1,21,0,0,2,1,"std","sGARCH",2.21008565084185,2.22034757514629,2.21008017466218,-3996.4651136746,FALSE,NA
1,22,1,0,2,1,"std","sGARCH",2.20439363141978,2.21636587644162,2.20438618046595,-3985.15686650121,FALSE,NA
1,23,0,1,2,1,"std","sGARCH",2.20417923651877,2.21615148154061,2.20417178556494,-3984.76859733549,FALSE,NA
1,24,1,1,2,1,"std","sGARCH",2.20145495593322,2.21513752167246,2.20144522764468,-3978.83492519506,FALSE,NA
1,25,0,0,1,2,"std","sGARCH",2.21362208433657,2.223884008641,2.21361660815689,-4002.86959473353,FALSE,NA
1,26,1,0,1,2,"std","sGARCH",2.20860638551851,2.22057863054034,2.20859893456467,-3992.78616417401,FALSE,NA
1,27,0,1,1,2,"std","sGARCH",2.20844324759187,2.22041549261371,2.20843579663804,-3992.49072138888,FALSE,NA
