model_name,overall_score,param_significance_score,info_criteria_score,residual_diag_score,stability_score,sign_bias_score,gof_score,garch_type,garch_p,garch_q,arma_p,arma_d,arma_q,distribution,loglikelihood,AIC,BIC,mu_estimate,mu_p_value,ar1_estimate,ar1_p_value,ma1_estimate,ma1_p_value,omega_estimate,omega_p_value,alpha1_estimate,alpha1_p_value,beta1_estimate,beta1_p_value,beta2_estimate,beta2_p_value,shape_estimate,shape_p_value,ljung_box_res_p_value,ljung_box_sq_res_p_value,nyblom_joint_statistic,sign_bias_t_value,sign_bias_p_value,negative_sign_bias_t_value,negative_sign_bias_p_value,positive_sign_bias_t_value,positive_sign_bias_p_value,joint_effect_t_value,joint_effect_p_value,alpha2_estimate,alpha2_p_value,gamma1_estimate,gamma1_p_value,gamma2_estimate,gamma2_p_value,skew_estimate,skew_p_value,arch_lm_p_value,key_strengths
series_2_model_130_summary.txt,0.9045720082228708,0.25,0.10569280000000002,0.25,0.14887920822287073,0.1,0.05,gjrGARCH,1.0,1.0,1.0,0.0,0.0,sstd,-4184.926,2.3153,2.3289,0.016342,0.201606,0.088943,0.0,,,0.01768,0.000434,0.138279,0.0,0.872243,0.0,,,6.041,0.0,0.6986,0.1193,2.1175,1.3061,0.19162,1.7613,0.07827,0.5298,0.59627,3.4449,0.32798,,,-0.057835,0.007489,,,1.032925,0.0,0.9074,"Parameter significance (0.250), Residual diagnostics (0.250), Parameter stability (0.149)"
series_2_model_131_summary.txt,0.8994951799116868,0.25,0.1057072,0.25,0.14623797991168674,0.09755000000000001,0.05,gjrGARCH,1.0,1.0,0.0,0.0,1.0,sstd,-4184.118,2.3148,2.3285,0.016279,0.2018,,,0.093961,0.0,0.017628,0.000449,0.137926,0.0,0.872523,0.0,,,6.035497,0.0,0.8995,0.1162,2.1354,1.8248,0.06811,2.0045,0.0451,0.7887,0.43034,5.0339,0.16933,,,-0.057608,0.007499,,,1.033166,0.0,0.9205,"Parameter significance (0.250), Residual diagnostics (0.250), Parameter stability (0.146)"
series_2_model_114_summary.txt,0.885241598021825,0.25,0.1057216,0.25,0.12951999802182496,0.1,0.05,gjrGARCH,1.0,1.0,1.0,0.0,0.0,std,-4185.809,2.3152,2.3272,0.010616,0.378548,0.088969,0.0,,,0.016993,0.000494,0.133828,0.0,0.875355,0.0,,,6.061912,0.0,0.7123,0.1045,2.0468,1.1327,0.2574,1.7146,0.0865,0.4027,0.6872,3.1175,0.3739,,,-0.054598,0.009077,,,,,0.9358,"Parameter significance (0.250), Residual diagnostics (0.250), Parameter stability (0.130)"
series_2_model_115_summary.txt,0.8796521806810351,0.25,0.105736,0.25,0.12756618068103495,0.09635,0.05,gjrGARCH,1.0,1.0,0.0,0.0,1.0,std,-4185.014,2.3148,2.3267,0.010525,0.380882,,,0.093926,0.0,0.016936,0.000512,0.133472,0.0,0.875657,0.0,,,6.056695,0.0,0.9123,0.1014,2.062,1.7799,0.07518,2.0274,0.0427,0.7173,0.47325,4.9762,0.17355,,,-0.054401,0.009078,,,,,0.949,"Parameter significance (0.250), Residual diagnostics (0.250), Parameter stability (0.128)"
series_2_model_42_summary.txt,0.8787166017751901,0.23214285714285715,0.10563360000000002,0.25,0.14094014463233284,0.1,0.05,sGARCH,1.0,2.0,1.0,0.0,0.0,sstd,-4188.215,2.3171,2.3308,0.008252,0.509122,0.087367,0.0,,,0.019633,0.000561,0.1253,0.0,0.615857,4.6e-05,0.237555,0.088675,5.971611,0.0,0.6304,0.4148,2.1723,0.8667,0.3862,0.7045,0.4811,0.2371,0.8126,0.8623,0.8345,,,,,,,1.026053,0.0,,"Residual diagnostics (0.250), Parameter significance (0.232), Parameter stability (0.141)"
series_2_model_43_summary.txt,0.8754040667515425,0.23214285714285715,0.10564960000000001,0.25,0.13761160960868518,0.1,0.05,sGARCH,1.0,2.0,0.0,0.0,1.0,sstd,-4187.395,2.3166,2.3303,0.008274,0.506721,,,0.092672,0.0,0.019621,0.000572,0.125246,0.0,0.615795,4.6e-05,0.237677,0.088678,5.967722,0.0,0.8324,0.4111,2.1962,1.66,0.09699,1.0907,0.27548,0.6222,0.53383,2.858,0.41404,,,,,,,1.026411,0.0,,"Residual diagnostics (0.250), Parameter significance (0.232), Parameter stability (0.138)"
series_2_model_34_summary.txt,0.874951350694238,0.25,0.10566400000000001,0.25,0.11928735069423799,0.1,0.05,sGARCH,1.0,1.0,1.0,0.0,0.0,sstd,-4189.105,2.317,2.329,0.008487,0.496779,0.087847,0.0,,,0.01713,0.000526,0.106348,0.0,0.875212,0.0,,,5.971058,0.0,0.65,0.1739,2.1291,0.90385,0.3661,1.05764,0.2903,0.07342,0.9415,1.44781,0.6944,,,,,,,1.026805,0.0,0.8871,"Parameter significance (0.250), Residual diagnostics (0.250), Parameter stability (0.119)"
series_2_model_35_summary.txt,0.8729901937514924,0.25,0.1056784,0.25,0.11731179375149242,0.1,0.05,sGARCH,1.0,1.0,0.0,0.0,1.0,sstd,-4188.286,2.3166,2.3285,0.008515,0.494129,,,0.093016,0.0,0.017122,0.000535,0.106314,0.0,0.875252,0.0,,,5.966763,0.0,0.8516,0.1719,2.1458,1.6611,0.09678,1.4246,0.15437,0.2948,0.76819,3.3654,0.33864,,,,,,,1.027185,0.0,0.8747,"Parameter significance (0.250), Residual diagnostics (0.250), Parameter stability (0.117)"
series_2_model_122_summary.txt,0.8692271861646166,0.21428571428571427,0.10568960000000001,0.25,0.1492518718789023,0.1,0.05,gjrGARCH,1.0,2.0,1.0,0.0,0.0,std,-4185.12,2.3154,2.329,0.010194,0.397573,0.088436,0.0,,,0.01924,0.000525,0.154767,0.0,0.639198,2.1e-05,0.216303,0.11871,6.062209,0.0,0.6831,0.2838,2.115,1.0414,0.2977,1.3712,0.1704,0.6791,0.4971,2.3442,0.5041,,,-0.061858,0.011323,,,,,,"Residual diagnostics (0.250), Parameter significance (0.214), Parameter stability (0.149)"
series_2_model_123_summary.txt,0.8661545934841465,0.21428571428571427,0.105704,0.25,0.1461648791984322,0.1,0.05,gjrGARCH,1.0,2.0,0.0,0.0,1.0,std,-4184.32,2.3149,2.3286,0.010132,0.398766,,,0.093552,0.0,0.019182,0.000543,0.154432,0.0,0.638709,2.2e-05,0.21709,0.117886,6.056739,0.0,0.8846,0.2781,2.1359,1.737,0.0825,1.708,0.08765,1.018,0.30891,4.265,0.23428,,,-0.061694,0.011322,,,,,,"Residual diagnostics (0.250), Parameter significance (0.214), Parameter stability (0.146)"
