model_name,overall_score,key_strengths,garch_type,garch_p,garch_q,distribution,AIC,BIC,loglikelihood
series_2_model_130_summary.txt,0.9045720082228708,"Parameter significance (0.250), Residual diagnostics (0.250), Parameter stability (0.149)",gjrGARCH,1.0,1.0,sstd,2.3153,2.3289,-4184.926
series_2_model_131_summary.txt,0.8994951799116868,"Parameter significance (0.250), Residual diagnostics (0.250), Parameter stability (0.146)",gjrGARCH,1.0,1.0,sstd,2.3148,2.3285,-4184.118
series_2_model_114_summary.txt,0.885241598021825,"Parameter significance (0.250), Residual diagnostics (0.250), Parameter stability (0.130)",gjrGARCH,1.0,1.0,std,2.3152,2.3272,-4185.809
series_2_model_115_summary.txt,0.8796521806810351,"Parameter significance (0.250), Residual diagnostics (0.250), Parameter stability (0.128)",gjrGARCH,1.0,1.0,std,2.3148,2.3267,-4185.014
series_2_model_42_summary.txt,0.8787166017751901,"Residual diagnostics (0.250), Parameter significance (0.232), Parameter stability (0.141)",sGARCH,1.0,2.0,sstd,2.3171,2.3308,-4188.215
series_2_model_43_summary.txt,0.8754040667515425,"Residual diagnostics (0.250), Parameter significance (0.232), Parameter stability (0.138)",sGARCH,1.0,2.0,sstd,2.3166,2.3303,-4187.395
series_2_model_34_summary.txt,0.874951350694238,"Parameter significance (0.250), Residual diagnostics (0.250), Parameter stability (0.119)",sGARCH,1.0,1.0,sstd,2.317,2.329,-4189.105
series_2_model_35_summary.txt,0.8729901937514924,"Parameter significance (0.250), Residual diagnostics (0.250), Parameter stability (0.117)",sGARCH,1.0,1.0,sstd,2.3166,2.3285,-4188.286
series_2_model_122_summary.txt,0.8692271861646166,"Residual diagnostics (0.250), Parameter significance (0.214), Parameter stability (0.149)",gjrGARCH,1.0,2.0,std,2.3154,2.329,-4185.12
series_2_model_123_summary.txt,0.8661545934841465,"Residual diagnostics (0.250), Parameter significance (0.214), Parameter stability (0.146)",gjrGARCH,1.0,2.0,std,2.3149,2.3286,-4184.32
series_2_model_18_summary.txt,0.8594026407049413,"Parameter significance (0.250), Residual diagnostics (0.250), Information criteria (0.106)",sGARCH,1.0,1.0,std,2.3168,2.327,-4189.7
series_2_model_19_summary.txt,0.85792419013723,"Parameter significance (0.250), Residual diagnostics (0.250), Information criteria (0.106)",sGARCH,1.0,1.0,std,2.3163,2.3266,-4188.898
series_2_model_26_summary.txt,0.857095277954293,"Residual diagnostics (0.250), Parameter significance (0.229), Parameter stability (0.122)",sGARCH,1.0,2.0,std,2.3168,2.3288,-4188.776
series_3_model_144_summary.txt,0.8565464849571058,"Parameter significance (0.250), Information criteria (0.199), Residual diagnostics (0.195)",gjrGARCH,2.0,2.0,sstd,-0.5915,-0.57097,1083.2
series_2_model_27_summary.txt,0.8545434846162284,"Residual diagnostics (0.250), Parameter significance (0.229), Parameter stability (0.120)",sGARCH,1.0,2.0,std,2.3164,2.3284,-4187.971
series_2_model_116_summary.txt,0.8530615863252038,"Residual diagnostics (0.250), Parameter significance (0.205), Parameter stability (0.145)",gjrGARCH,1.0,1.0,std,2.315,2.3287,-4184.485
